country_code,platform,username,rank_duo,rank_solo,rank_squad
,playstation,Abc123Def4563,,160,
,playstation,Aliche_,,,153
,playstation,Alucco,,21,
,playstation,Arztedd,185,,
,playstation,blaaays,,,173
,playstation,Bngi-,,,114
,playstation,Brown_smurfz,,,97
,playstation,DAxBLAKxMAMBA,,,54
,playstation,DexxterRoyale,,152,
,playstation,dukeshooter69,,,106
,playstation,Emericajosh,,179,
,playstation,Erufely,,,173
,playstation,flo_mc8,52,,
,playstation,fohrtnlte,,,158
,playstation,FortNiteLew,,,133
,playstation,GxcciENY,,,92
,playstation,HandcraftedBird,,,43
,playstation,hatunemikuru,,,81
,playstation,Holthe123,,188,
,playstation,HunchoAman,,109,
,playstation,I_Breadstick,,166,
,playstation,ichameleoni,,,93
,playstation,Ivan-_-A,,83,
,playstation,KanalmanN,,197,
,playstation,Keener33,145,,
,playstation,KingOfYou12,,152,
,playstation,KOUYA_KOUDOUwwww,83,,
,playstation,leng1upp,,,50
,playstation,LiamJokes,,57,
,playstation,llKratos-,126,,68
,playstation,luck_GoMi,,,154
,playstation,Mabilou-Tariff,,158,
,playstation,MonkeyDArian,,,67
,playstation,naut_SK2,,169,
,playstation,OmGITsCaL_,,109,
,playstation,ParanoiaJooker,,,173
,playstation,SAFCMAD4IT,165,,
,playstation,Shawn-the-white,150,,
,playstation,Sufi-Q,,166,
,playstation,thegolfingcrip,,114,
,playstation,Twitch_Kxrima,,,189
,playstation,WhoRocksSupreme,176,109,
,playstation,xblueblackx,,122,
,playstation,xTonio85,,73,
,playstation,XX_TheCounterBos,187,,
,playstation,Yeezy_xXTryxx,20,,
,playstation,YT_ThisIsPara-,,,196
,playstation,Zabijak0666,43,,
,playstation,あすかいず,192,,
,playstation,真司3,,,191
,windows,C Y N,,32,
,windows,GoldenJ.,,160,
,windows,HORRID_PLAYER,187,114,
,windows,Im Bad ツ,,,54
,windows,JoeArcher,,,43
,windows,Kraze-,,,139
,windows,Moorro,,142,
,windows,MrDoom TTV,130,,171
,windows,Outcold415,,,69
,windows,Pinktongue,,125,
,windows,Talent .,,,116
,windows,terror.exe,65,,
,windows,therealgod.,171,,
,windows,Top500DuoRektU,135,,
,windows,TrmPnapovski,,11,
,windows,TTV H2OStill,102,,
,windows,Twitch.SleepyFN,117,,
,windows,TwitchEmperorOne,110,,
,windows,WashedUpTimboTTV,,,191
,windows,Zαch,,24,
,windows,Λɢɢяσ,35,127,109
,windows,한발1킬,,37,
,xbox,14N1,137,,
,xbox,Alone xoxo,,,191
,xbox,Aydean,,53,
,xbox,BuLLyZenon,176,,
,xbox,Champism,88,,
,xbox,ELITEKILLER101x,,,74
,xbox,Frkin Chaos,,,189
,xbox,InsaneAU,159,,
,xbox,Jared BA,71,,
,xbox,jcappy,,175,
,xbox,King Churren,,,127
,xbox,Mauvn,176,,
,xbox,NR Jordan,,160,
,xbox,Philly_B,60,,
,xbox,screech111,4,,
,xbox,The_Dolt,,68,
,xbox,trippychops,,,37
,xbox,WolfSnD0505,,,38
,xbox,Wοh,121,,
,xbox,xbl(Menard),,,104
,xbox,xbl(Qft),21,,
,xbox,xxSSxx Kill,,,142
,xbox,Young Susanoo,,175,
,xbox,Zexpraa,,,161
,xbox,Νοg,,,109
AR,playstation,SE-iiFreaKz,46,,
AR,playstation,Valen30020,,78,
AR,playstation,zNobJoZ,101,,
AR,windows,Aircry,,114,
AR,windows,DH LGx,97,,139
AR,windows,Goиza,75,,191
AR,windows,IntuitiveZiZouTT,,194,
AR,windows,ISG LightPlanet,,138,
AR,windows,Meolans,,,33
AT,playstation,AykanBomaye,130,,
AT,playstation,KyuubiiOG,53,,
AT,playstation,Predizions,104,73,133
AT,windows,Prime Tydix,171,,
AU,playstation,Alqeu,153,,
AU,playstation,BradleyGrodon69,,57,
AU,playstation,eDOGtheSavage-,187,,
AU,playstation,EJLad,,21,
AU,playstation,Kljxy,,188,
AU,playstation,lmpacct,133,,
AU,playstation,Parqn,60,,
AU,playstation,Twitch_kojos,,138,
AU,windows,CaliFN,23,,
AU,windows,girkler,60,,
AU,windows,JAM Em Dee,93,,
AU,windows,RNG mrfreshasian,128,160,
AU,windows,SitOnThis,75,,
AU,xbox,BiggSamoan187,104,,
AU,xbox,Evolveds_,159,,
AU,xbox,Sorif,145,,
AU,xbox,TC llAndrew,74,188,
BA,windows,WakeUpIznajIstin,,104,
BE,windows,xISammie,155,,
BG,playstation,lx-Rezerekt-xl,,,43
BG,windows,Mishoangelo,,,123
BG,windows,November 26th,171,,
BN,playstation,Razant,,17,
BR,windows,Blightwalker,,16,
BR,windows,BrW0lf,148,,
BR,windows,Nando Eh 30,192,,
BR,windows,queyjo_ralado,182,,
BR,windows,wickkD神,141,169,
BR,windows,Ѕora,,197,
BR,xbox,NightmareVoque,118,,
CA,playstation,BloodAffair,182,,
CA,playstation,CaptainAK12,,175,
CA,playstation,dielawnz,,,164
CA,playstation,Exo Vibez,,145,
CA,playstation,psn(Vaztk),,,28
CA,playstation,Sit_Kiddo,,38,
CA,playstation,XiGbY,,1,
CA,playstation,Zenhys,,57,
CA,windows,LetMeBuildTTV,108,,
CA,windows,NotRannar,,,13
CA,windows,Twitch-FpsUber,,,38
CA,windows,twitchTV mintxd,,56,
CA,xbox,Cich_,,,84
CA,xbox,Vruzed123,168,,
CO,playstation,Kserpec,,107,
CZ,windows,Aêrøeu,,175,
CZ,windows,CoereSp Giuseppe,171,,
CZ,windows,I_IcyFire_I,,48,
DE,playstation,Boss83022,12,,
DE,playstation,BowDownForTitaN,155,,
DE,playstation,CngamingNiko,16,,
DE,playstation,CrystalJunk420,,63,
DE,playstation,DanezzENY,168,,104
DE,playstation,DeBeastTryHard,23,,116
DE,playstation,Dr.Fort,,,180
DE,playstation,EnderENY,,,2
DE,playstation,Exaagon,,57,
DE,playstation,FReSH3_BeAStxX,,,4
DE,playstation,FxckOpiium,,,69
DE,playstation,Goldi7777777,,,43
DE,playstation,IchMagYellow,97,,
DE,playstation,InceptionXI,,,66
DE,playstation,iTzValten,,,74
DE,playstation,kkrxny,,,28
DE,playstation,liZZo1981,,,54
DE,playstation,MonkeyDSiggi,,134,
DE,playstation,NexiZz95,,,11
DE,playstation,NeXuSDisTincTTヅ,,,133
DE,playstation,NotViolence,,,21
DE,playstation,P.a.i.i.n.Z,137,,
DE,playstation,PhineasCSC,19,,
DE,playstation,PrinzENY,,,21
DE,playstation,psn(TNL1505),39,,133
