kd,kills,kills_match,mode,player,score,score_match,total,winratio,wins
4.14,58,3.62,SOLO,Alucco,3581,223.81,16,12.5,2
1,2,1,SOLO,blaaays,435,217.5,2,0,0
3.5,28,2.8,SOLO,DAxBLAKxMAMBA,2160,216,10,20,2
1,1,1,SOLO,dukeshooter69,355,355,1,0,0
16,16,5.33,SOLO,flo_mc8,1303,434.33,3,66.7,2
1.92,50,1.85,SOLO,FortNiteLew,4011,148.56,27,3.7,1
1,1,1,SOLO,GxcciENY,28,28,1,0,0
6,6,3,SOLO,Holthe123,1210,605,2,100,2
2.12,68,2.06,SOLO,HunchoAman,5461,165.48,33,3,1
4.38,35,3.5,SOLO,I_Breadstick,2350,235,10,20,2
1.95,43,1.95,SOLO,ichameleoni,4787,217.59,22,0,0
0.9,9,0.82,SOLO,Ivan-_-A,1454,132.18,11,9.1,1
1.12,9,1.12,SOLO,KanalmanN,1050,131.25,8,0,0
4.38,35,3.5,SOLO,KingOfYou12,2468,246.8,10,20,2
5,5,5,SOLO,KOUYA_KOUDOUwwww,196,196,1,0,0
2.11,19,2.11,SOLO,leng1upp,1006,111.78,9,0,0
3.54,170,3.15,SOLO,llKratos-,9403,174.13,54,11.1,6
4,8,4,SOLO,Mabilou-Tariff,222,111,2,0,0
1,2,1,SOLO,MonkeyDArian,44,22,2,0,0
4.6,23,4.6,SOLO,ParanoiaJooker,1149,229.8,5,0,0
1,1,1,SOLO,SAFCMAD4IT,40,40,1,0,0
1.25,5,1.25,SOLO,Shawn-the-white,784,196,4,0,0
3.5,7,3.5,SOLO,Sufi-Q,903,451.5,2,0,0
1.11,196,1.06,SOLO,thegolfingcrip,35758,193.29,185,4.3,8
6,6,6,SOLO,Twitch_Kxrima,405,405,1,0,0
35,35,7,SOLO,WhoRocksSupreme,2825,565,5,80,4
1.75,7,1.17,SOLO,xblueblackx,2356,392.67,6,33.3,2
3,12,3,SOLO,XX_TheCounterBos,1131,282.75,4,0,0
3,3,3,SOLO,あすかいず,327,327,1,0,0
6.26,3535,4.03,SOLO,C Y N,349790,398.85,877,35.6,312
7.42,8811,4.74,SOLO,GoldenJ.,692005,372.65,1857,36.1,670
6.8,1878,3.7,SOLO,HORRID_PLAYER,223816,440.58,508,45.7,232
5.17,811,4.38,SOLO,Im Bad ツ,42344,228.89,185,15.1,28
3.51,1627,2.91,SOLO,JoeArcher,163434,291.85,560,17.1,96
3.69,1086,3.31,SOLO,Kraze-,72790,221.92,328,10.4,34
2.82,3629,2.54,SOLO,Moorro,343432,239.99,1431,9.9,142
6.44,4514,4.87,SOLO,MrDoom TTV,323516,348.99,927,24.4,226
4.87,5575,3.73,SOLO,Outcold415,469800,314.46,1494,23.4,350
4.37,5363,3.52,SOLO,Pinktongue,399396,262.42,1522,19.4,295
4.1,2911,3.58,SOLO,Talent .,214291,263.58,813,12.7,103
3.14,393,2.85,SOLO,terror.exe,27637,200.27,138,9.4,13
4.98,2293,4.1,SOLO,therealgod.,161970,289.75,559,17.7,99
3.38,1430,3.04,SOLO,Top500DuoRektU,99343,210.92,471,10.2,48
0.49,430,0.46,SOLO,TrmPnapovski,299179,322.04,929,5.4,50
2.61,310,2.42,SOLO,TTV H2OStill,26981,210.79,128,7,9
6.95,6712,4.94,SOLO,Twitch.SleepyFN,441413,325.05,1358,28.9,392
4.59,2183,3.76,SOLO,TwitchEmperorOne,160022,275.43,581,18.1,105
2.86,349,2.59,SOLO,WashedUpTimboTTV,33207,245.98,135,9.6,13
7.32,9225,5.32,SOLO,Zαch,531277,306.21,1735,27.3,474
6.81,1736,4.12,SOLO,Λɢɢяσ,169046,401.53,421,39.4,166
5.01,4978,4.01,SOLO,한발1킬,357362,288.2,1240,19.9,247
4.67,14,4.67,SOLO,Aydean,769,256.33,3,0,0
6.67,60,4,SOLO,Champism,4520,301.33,15,40,6
1,5,1,SOLO,ELITEKILLER101x,660,132,5,0,0
3,30,2.31,SOLO,Frkin Chaos,5536,425.85,13,23.1,3
16.25,65,5.91,SOLO,InsaneAU,4963,451.18,11,63.6,7
2.83,17,2.43,SOLO,jcappy,1973,281.86,7,14.3,1
3,6,3,SOLO,Mauvn,429,214.5,2,0,0
4.67,14,3.5,SOLO,NR Jordan,1097,274.25,4,25,1
1,1,1,SOLO,screech111,17,17,1,0,0
1.29,9,1.29,SOLO,The_Dolt,1196,170.86,7,0,0
5,5,5,SOLO,WolfSnD0505,605,605,1,100,1
9,18,6,SOLO,Wοh,1312,437.33,3,33.3,1
2.61,60,2.14,SOLO,xxSSxx Kill,7338,262.07,28,17.9,5
3.55,39,3.55,SOLO,Young Susanoo,1741,158.27,11,0,0
14,14,4.67,SOLO,Zexpraa,1422,474,3,66.7,2
3.71,26,3.25,SOLO,SE-iiFreaKz,1256,157,8,12.5,1
7.75,31,5.17,SOLO,Valen30020,2339,389.83,6,33.3,2
1.3,13,1.3,SOLO,zNobJoZ,715,71.5,10,0,0
6.99,9521,4.98,SOLO,Aircry,615112,321.88,1911,28.7,548
4.43,4443,3.36,SOLO,DH LGx,433220,327.7,1322,24.2,320
3.83,3295,3.09,SOLO,Goиza,318510,298.79,1066,19.3,206
5.76,3233,3.04,SOLO,ISG LightPlanet,468664,441.3,1062,47.2,501
2.94,1007,2.72,SOLO,Meolans,90124,243.58,370,7.3,27
2.25,18,2,SOLO,AykanBomaye,1936,215.11,9,11.1,1
1.61,71,1.58,SOLO,Predizions,4525,100.56,45,2.2,1
5.05,2392,3.7,SOLO,Prime Tydix,204658,316.32,647,26.7,173
8.56,77,6.42,SOLO,Alqeu,3824,318.67,12,25,3
1.61,29,1.53,SOLO,BradleyGrodon69,3335,175.53,19,5.3,1
9,9,9,SOLO,eDOGtheSavage-,602,602,1,100,1
1.5,3,1,SOLO,Kljxy,742,247.33,3,33.3,1
2,4,2,SOLO,lmpacct,334,167,2,0,0
2,2,2,SOLO,Parqn,196,196,1,0,0
8,24,4,SOLO,Twitch_kojos,2731,455.17,6,50,3
3.46,1493,3.1,SOLO,CaliFN,119752,248.96,481,10.2,49
4.48,2575,3.5,SOLO,girkler,244263,332.33,735,21.8,160
3.38,7898,3.08,SOLO,JAM Em Dee,556636,217.35,2561,8.8,226
19.83,6008,7.71,SOLO,RNG mrfreshasian,384347,493.39,779,61.1,476
3.25,13,2.17,SOLO,SitOnThis,488,81.33,6,33.3,2
6,6,6,SOLO,Sorif,405,405,1,0,0
11,22,7.33,SOLO,TC llAndrew,1415,471.67,3,33.3,1
5.13,4021,3.92,SOLO,WakeUpIznajIstin,324447,315.92,1027,23.7,243
2.92,643,2.7,SOLO,xISammie,50566,212.46,238,7.6,18
3.17,2189,2.77,SOLO,Mishoangelo,202800,257.03,789,12.4,98
13.9,417,6.84,SOLO,November 26th,27401,449.2,61,50.8,31
3,60,2.5,SOLO,Razant,6625,276.04,24,16.7,4
2.41,5217,1.84,SOLO,Blightwalker,855616,302.34,2830,23.4,663
6.94,11901,5.06,SOLO,BrW0lf,833754,354.49,2352,27.1,638
4.7,1202,3.52,SOLO,Nando Eh 30,92834,272.24,341,24.9,85
6.53,2578,5.18,SOLO,queyjo_ralado,136808,274.71,498,20.7,103
5.59,5824,4.33,SOLO,wickkD神,370858,275.94,1344,22.5,302
9.48,8708,6.41,SOLO,Ѕora,455774,335.37,1359,32.4,440
2.29,16,2,SOLO,BloodAffair,2919,364.88,8,12.5,1
3,27,2.7,SOLO,Exo Vibez,2028,202.8,10,10,1
6.2,93,4.04,SOLO,Sit_Kiddo,9143,397.52,23,34.8,8
1.9,19,1.9,SOLO,XiGbY,1513,151.3,10,0,0
6.15,486,4.38,SOLO,LetMeBuildTTV,40062,360.92,111,28.8,32
5.84,2632,4.2,SOLO,NotRannar,230418,368.08,626,28,175
4.61,913,3.95,SOLO,Twitch-FpsUber,57226,247.73,231,14.3,33
7.44,2142,4.79,SOLO,twitchTV mintxd,156999,351.23,447,35.6,159
2.42,29,2.23,SOLO,Vruzed123,2717,209,13,7.7,1
4.32,82,3.28,SOLO,Kserpec,8657,346.28,25,24,6
12.95,23807,5.83,SOLO,Aêrøeu,1892526,463.06,4087,55,2249
3.91,1841,3.3,SOLO,CoereSp Giuseppe,136073,243.86,558,15.6,87
3.61,7475,3.2,SOLO,I_IcyFire_I,525059,224.96,2334,11.4,266
5,5,2.5,SOLO,Boss83022,821,410.5,2,50,1
19,38,7.6,SOLO,CngamingNiko,2295,459,5,60,3
1.62,21,1.5,SOLO,CrystalJunk420,3025,216.07,14,7.1,1
2.67,56,2.55,SOLO,EnderENY,3318,150.82,22,4.5,1
1.37,48,1.3,SOLO,Exaagon,3263,88.19,37,5.4,2
3.8,19,2.71,SOLO,FReSH3_BeAStxX,2285,326.43,7,28.6,2
1,6,1,SOLO,FxckOpiium,391,65.17,6,0,0
2,18,2,SOLO,IchMagYellow,1233,137,9,0,0
2.06,35,1.84,SOLO,iTzValten,3798,199.89,19,10.5,2
4.33,26,3.25,SOLO,kkrxny,2349,293.62,8,25,2
1.67,5,1.67,SOLO,liZZo1981,434,144.67,3,0,0
6.4,32,4,SOLO,MonkeyDSiggi,2948,368.5,8,37.5,3
4.67,14,3.5,SOLO,NeXuSDisTincTTヅ,1400,350,4,25,1
13,13,4.33,SOLO,P.a.i.i.n.Z,1615,538.33,3,66.7,2
1.67,5,1.67,SOLO,PhineasCSC,602,200.67,3,0,0
1.46,19,1.27,SOLO,PrinzENY,2417,161.13,15,13.3,2
1.75,14,1.75,SOLO,Raquu ツ,1447,180.88,8,0,0
3.33,10,3.33,SOLO,Ropzy,701,233.67,3,0,0
2.25,9,1.8,SOLO,SimpleAwake,1506,301.2,5,20,1
9,9,4.5,SOLO,TheDark_vZ,1110,555,2,50,1
2.96,68,2.62,SOLO,xNasty_RxYaL,4758,183,26,11.5,3
0.15,7,0.15,SOLO,xPhilip19x,5165,112.28,46,0,0
4,4,4,SOLO,xZInFiNiTy7,182,182,1,0,0
6,6,3,SOLO,YakuzaENY,1010,505,2,50,1
1,1,1,SOLO,YaxtoCSC,208,208,1,0,0
10.8,54,6,SOLO,YouTube-VrayST,3204,356,9,44.4,4
1.75,7,1.75,SOLO,ZanariYG-,901,225.25,4,0,0
2.75,5220,2.39,SOLO,Asdffreak14,573925,262.79,2184,13.2,288
1.86,2932,1.81,SOLO,AVERAGE.Kredox,259495,159.98,1622,2.9,47
5.84,1839,4.36,SOLO,d1rbY,126675,300.18,422,25.4,107
0.71,22,0.69,SOLO,Don Pablo E.,6471,202.22,32,3.1,1
6.2,4667,4.44,SOLO,EMP WeisseMoehre,360679,343.18,1051,28.4,298
4.65,2328,3.62,SOLO,EMP_Kawa,172405,268.13,643,22.1,142
3.09,1420,2.82,SOLO,FG dayless,96836,192.52,503,8.7,44
5.22,1211,4.34,SOLO,FG Gio,79280,284.16,279,16.8,47
3.35,1435,3.12,SOLO,FG Russak,95511,207.63,460,7,32
5.69,3894,3.66,SOLO,flawless99_,416777,392.08,1063,35.7,379
3.73,3716,2.64,SOLO,Fußfeger,469531,334.19,1405,29,408
4.28,963,2.76,SOLO,InPanix SvNy,138069,395.61,349,35.5,124
9.02,1154,5.63,SOLO,InPanix Wuuudi,79338,387.01,205,37.6,77
5.72,1385,3.38,SOLO,jstCarry_Twitch,182234,444.47,410,41,168
2.24,499,2.02,SOLO,JUGGERNAUT-YT,45102,182.6,247,9.7,24
7.87,9684,4.76,SOLO,k0nfetti_Twitch,764841,375.66,2036,39.6,806
2.12,339,2.03,SOLO,kEVSHH,32076,192.07,167,4.2,7
5.57,2477,3.44,SOLO,ManjaFi,280178,389.14,720,38.2,275
8.21,345,5.39,SOLO,mouz Möps,23356,364.94,64,34.4,22
11.23,2157,5.75,SOLO,mQuark,174638,465.7,375,48.8,183
6.45,1973,4.77,SOLO,NícKK,133763,323.1,414,26.1,108
2.05,2603,1.88,SOLO,NSI_SoulHunter,329645,238.7,1381,8,111
2.78,4611,2.62,SOLO,OMIKRON.ZanDoX,327980,186.67,1757,5.5,97
3.65,3236,3,SOLO,p h i l,282608,261.67,1080,17.9,193
3.23,3291,2.79,SOLO,Prevax,249234,211.22,1180,13.6,160
4.49,3009,3.52,SOLO,Prime President,253534,296.18,856,21.7,186
3.77,3889,3.21,SOLO,RPT Daineira,334580,276.28,1211,14.9,180
5.26,1551,3.51,SOLO,SC0RPEX,146819,332.17,442,33.3,147
3.49,2899,3.1,SOLO,SPIRIT Downley,195788,209.4,935,11.1,104
4.21,366,3.33,SOLO,SPIRIT siroqz,34340,312.18,110,20.9,23
3.42,4144,2.76,SOLO,sT Landlord,414789,276.53,1500,19.2,288
3.65,9836,3.06,SOLO,sT Rippchen,783512,243.78,3214,16.2,521
2.92,3709,2.37,SOLO,SwitchUMG,422768,270.48,1563,18.8,294
6.19,2595,4.62,SOLO,thrustz,171313,304.83,562,25.4,143
12.51,14985,6.57,SOLO,Twitch L3and3Boy,982682,430.81,2281,47.5,1083
4.2,172,3.66,SOLO,TWITCH xDreamZTV,10193,216.87,47,12.8,6
8.92,12571,5.34,SOLO,Twitch_Netwar_,1016729,432.28,2352,40.1,943
3.36,3025,2.77,SOLO,Twitch_Raavo0x,290208,265.76,1092,17.7,193
6.84,1244,3.65,SOLO,Twitch_zMatriicx,151010,442.84,341,46.6,159
5.05,2210,4.18,SOLO,twitchprrkk,140374,265.36,529,17.2,91
5.65,2911,3.77,SOLO,TWlTCH inc_Price,287325,372.18,772,33.3,257
4.36,3306,3.52,SOLO,Wolfツ,271609,289.56,938,19.1,179
3.42,7133,2.87,SOLO,xd Sariusツ,611664,245.75,2489,16.3,406
4.17,1064,3.41,SOLO,xRaider.,86011,275.68,312,18.3,57
7.61,4064,4.9,SOLO,Xypher Pepper,290348,350.24,829,35.6,295
5.8,10882,4.37,SOLO,ZakayZocktTV,843770,339.14,2488,24.6,612
3.73,5675,3.01,SOLO,αημεδ,454346,241.03,1885,19.2,362
9.88,79,4.39,SOLO,pasDuno,7335,407.5,18,55.6,10
3.57,25,3.57,SOLO,VP Shneezin,1375,196.43,7,0,0
5,30,3.33,SOLO,XBL uBaq,2231,247.89,9,33.3,3
28,28,5.6,SOLO,hransen,2825,565,5,80,4
3.37,1444,2.95,SOLO,NicklasAlfred,32526,66.38,490,12.4,61
2.5,5,2.5,SOLO,Ziggiking90,660,330,2,0,0
6.33,4492,4.7,SOLO,M8ay,287895,301.15,956,25.7,246
5.59,2576,4.55,SOLO,NxG Str0nkTV,156680,276.82,566,18.6,105
7.72,2015,4.82,SOLO,Sutsko,167764,401.35,418,37.6,157
3.4,2209,3.08,SOLO,SvendPro,125188,174.36,718,9.6,69
8.89,11712,5.33,SOLO,Twitch_Dkokholm,862285,392.13,2199,40.1,882
6.27,163,3.7,SOLO,Twitch TBEGlory,15525,352.84,44,40.9,18
9.65,7360,5.76,SOLO,Markeloff05,477107,373.62,1277,40.3,514
2.06,2544,1.87,SOLO,I Seolhyun I,339308,250.04,1357,9.2,125
3.82,1198,3.17,SOLO,WAP Raas,106377,281.42,378,16.9,64
4.11,37,3.36,SOLO,NoSkiLL-_-,3254,295.82,11,18.2,2
7.13,5099,5.41,SOLO,AQ TwtchReyes37,266790,282.92,943,24.2,228
4.95,1594,3.26,SOLO,Blessed KennyDX,195513,399.82,489,34.2,167
6.44,5375,4.59,SOLO,DRA Broken,367062,313.73,1170,28.6,335
5.73,4607,3.65,SOLO,Frnzgodness,483851,383.7,1261,36.2,457
1.27,813,1.24,SOLO,JMO Khaleesiu,115317,176.06,655,2.6,17
1.95,2495,1.83,SOLO,JMO subman,274945,201.28,1366,6.4,87
3.15,3126,2.68,SOLO,Manoloka7,333504,285.78,1167,14.9,174
8,8,4,SOLO,arttu01,623,311.5,2,50,1
2.78,3086,2.47,SOLO,Leevi L,289291,231.8,1248,11.1,138
